Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,arc_length,k,nut,omega,p,vtkValidPointMask
277,-1.368500e+00,3.939000e-01,5.739500e-01,1.535372e+00,9.700835e+01,1.348563e+01,4.349812e+00,9.803777e+01,2.665001e+00,6.213339e+01,2.908195e-02,2.183355e+03,-6.983299e+02,1
278,-1.359000e+00,3.946000e-01,5.753000e-01,1.527599e+00,9.752969e+01,1.317574e+01,4.452029e+00,9.851630e+01,2.674622e+00,6.087435e+01,2.907811e-02,2.140180e+03,-6.075457e+02,1
279,-1.349500e+00,3.953000e-01,5.766500e-01,1.519848e+00,9.810763e+01,1.288260e+01,4.536931e+00,9.905378e+01,2.684242e+00,5.954230e+01,2.907690e-02,2.094212e+03,-5.160544e+02,1
280,-1.340000e+00,3.960000e-01,5.780000e-01,1.512118e+00,9.871774e+01,1.265175e+01,4.681556e+00,9.963522e+01,2.693863e+00,5.820019e+01,2.922719e-02,2.035489e+03,-4.240012e+02,1
281,-1.330500e+00,3.967000e-01,5.793500e-01,1.504409e+00,9.928658e+01,1.250848e+01,4.886106e+00,1.001906e+02,2.703484e+00,5.685292e+01,2.950863e-02,1.965259e+03,-3.321490e+02,1
282,-1.321000e+00,3.974000e-01,5.807000e-01,1.496723e+00,9.981258e+01,1.240420e+01,5.050403e+00,1.007071e+02,2.713105e+00,5.542262e+01,2.972024e-02,1.897072e+03,-2.406342e+02,1
283,-1.311500e+00,3.981000e-01,5.820500e-01,1.489059e+00,1.003140e+02,1.235173e+01,5.187040e+00,1.012046e+02,2.722726e+00,5.396818e+01,2.988959e-02,1.831732e+03,-1.562329e+02,1
284,-1.302000e+00,3.988000e-01,5.834000e-01,1.481419e+00,1.009213e+02,1.237989e+01,5.383721e+00,1.018202e+02,2.732347e+00,5.278767e+01,3.019770e-02,1.769732e+03,-1.069594e+02,1
285,-1.292500e+00,3.995000e-01,5.847500e-01,1.473801e+00,1.015221e+02,1.239892e+01,5.578292e+00,1.024284e+02,2.741968e+00,5.161012e+01,3.049500e-02,1.709653e+03,-5.755669e+01,1
286,-1.283000e+00,4.002000e-01,5.861000e-01,1.466207e+00,1.016408e+02,1.263985e+01,5.748073e+00,1.025849e+02,2.751589e+00,5.030406e+01,3.069193e-02,1.646937e+03,-7.159900e+00,1
287,-1.273500e+00,4.009000e-01,5.874500e-01,1.458637e+00,1.007510e+02,1.319934e+01,5.700325e+00,1.017717e+02,2.761210e+00,4.859797e+01,2.973807e-02,1.636771e+03,5.529409e+01,1
288,-1.264000e+00,4.016000e-01,5.888000e-01,1.451091e+00,9.992348e+01,1.375613e+01,5.663125e+00,1.010248e+02,2.770831e+00,4.677101e+01,2.870244e-02,1.629405e+03,1.175478e+02,1
289,-1.254500e+00,4.023000e-01,5.901500e-01,1.443569e+00,9.911626e+01,1.430913e+01,5.624874e+00,1.003017e+02,2.780452e+00,4.494492e+01,2.766839e-02,1.622072e+03,1.798862e+02,1
290,-1.245000e+00,4.030000e-01,5.915000e-01,1.436073e+00,9.943266e+01,1.437496e+01,5.343033e+00,1.006084e+02,2.790073e+00,4.400259e+01,2.756399e-02,1.594334e+03,2.323148e+02,1
291,-1.235500e+00,4.037000e-01,5.928500e-01,1.428602e+00,1.006955e+02,1.404871e+01,4.868276e+00,1.017873e+02,2.799694e+00,4.374949e+01,2.818703e-02,1.550880e+03,2.773576e+02,1
292,-1.226000e+00,4.044000e-01,5.942000e-01,1.421158e+00,1.019692e+02,1.383218e+01,4.395404e+00,1.029970e+02,2.809315e+00,4.325021e+01,2.862346e-02,1.510486e+03,3.249604e+02,1
293,-1.216500e+00,4.051000e-01,5.955500e-01,1.413739e+00,1.022368e+02,1.414268e+01,3.954066e+00,1.032861e+02,2.818936e+00,4.196390e+01,2.840425e-02,1.478031e+03,3.776953e+02,1
294,-1.207000e+00,4.058000e-01,5.969000e-01,1.406347e+00,1.024152e+02,1.480613e+01,3.596657e+00,1.035424e+02,2.828557e+00,4.007965e+01,2.767855e-02,1.456444e+03,4.314316e+02,1
295,-1.197500e+00,4.065000e-01,5.982500e-01,1.398982e+00,1.024430e+02,1.579887e+01,3.331282e+00,1.037076e+02,2.838177e+00,3.760242e+01,2.646893e-02,1.443056e+03,4.848890e+02,1
296,-1.188000e+00,4.072000e-01,5.996000e-01,1.391645e+00,1.022456e+02,1.678465e+01,3.029965e+00,1.036584e+02,2.847799e+00,3.504570e+01,2.520809e-02,1.424147e+03,5.380648e+02,1
297,-1.178500e+00,4.079000e-01,6.009500e-01,1.384336e+00,1.033892e+02,1.644307e+01,2.338435e+00,1.047147e+02,2.857419e+00,3.520028e+01,2.600065e-02,1.376643e+03,5.707392e+02,1
298,-1.169000e+00,4.086000e-01,6.023000e-01,1.377055e+00,1.044214e+02,1.603222e+01,1.591796e+00,1.056570e+02,2.867040e+00,3.539746e+01,2.683637e-02,1.322984e+03,6.023665e+02,1
299,-1.159500e+00,4.093000e-01,6.036500e-01,1.369803e+00,1.048669e+02,1.643295e+01,1.020718e+00,1.061515e+02,2.876661e+00,3.733064e+01,2.892955e-02,1.298067e+03,6.416263e+02,1
300,-1.150000e+00,4.100000e-01,6.050000e-01,1.362580e+00,1.051201e+02,1.693892e+01,4.868253e-01,1.064773e+02,2.886282e+00,3.974315e+01,3.135852e-02,1.279272e+03,6.817782e+02,1
301,-1.140500e+00,4.107000e-01,6.063500e-01,1.355387e+00,1.050198e+02,1.783013e+01,-4.232651e-02,1.065227e+02,2.895903e+00,4.249415e+01,3.408423e-02,1.260853e+03,7.295367e+02,1
302,-1.131000e+00,4.114000e-01,6.077000e-01,1.348225e+00,1.046588e+02,1.940788e+01,-6.769069e-01,1.064453e+02,2.905524e+00,4.504609e+01,3.682952e-02,1.236262e+03,7.935843e+02,1
303,-1.121500e+00,4.121000e-01,6.090500e-01,1.341093e+00,1.050536e+02,2.030334e+01,-1.405214e+00,1.070068e+02,2.915145e+00,4.704332e+01,3.915159e-02,1.206499e+03,8.406512e+02,1
304,-1.112000e+00,4.128000e-01,6.104000e-01,1.333992e+00,1.066969e+02,2.005817e+01,-2.278985e+00,1.085899e+02,2.924766e+00,4.817505e+01,4.080531e-02,1.168530e+03,8.587754e+02,1
305,-1.102500e+00,4.135000e-01,6.117500e-01,1.326924e+00,1.070286e+02,2.075288e+01,-3.733336e+00,1.090859e+02,2.934387e+00,6.365894e+01,5.047704e-02,1.174357e+03,8.824625e+02,1
306,-1.093000e+00,4.142000e-01,6.131000e-01,1.319887e+00,1.071305e+02,2.160651e+01,-5.252181e+00,1.094138e+02,2.944008e+00,8.122427e+01,6.132132e-02,1.186957e+03,9.070299e+02,1
307,-1.083500e+00,4.149000e-01,6.144500e-01,1.312883e+00,1.072324e+02,2.246015e+01,-6.771044e+00,1.097684e+02,2.953629e+00,9.878979e+01,7.216572e-02,1.199557e+03,9.315976e+02,1
308,-1.074000e+00,4.156000e-01,6.158000e-01,1.305913e+00,1.072406e+02,2.314664e+01,-8.486917e+00,1.100379e+02,2.963250e+00,1.190812e+02,8.317810e-02,1.223501e+03,9.614191e+02,1
309,-1.064500e+00,4.163000e-01,6.171500e-01,1.298977e+00,1.072905e+02,2.425521e+01,-1.009410e+01,1.104602e+02,2.972871e+00,1.413145e+02,9.548775e-02,1.261475e+03,1.002878e+03,1
310,-1.055000e+00,4.170000e-01,6.185000e-01,1.292074e+00,1.084267e+02,2.449673e+01,-1.140024e+01,1.117425e+02,2.982492e+00,1.529646e+02,1.053139e-01,1.250070e+03,1.024026e+03,1
311,-1.045500e+00,4.177000e-01,6.198500e-01,1.285207e+00,1.095242e+02,2.448958e+01,-1.338972e+01,1.130247e+02,2.992112e+00,1.926602e+02,1.205446e-01,1.322754e+03,9.982462e+02,1
312,-1.036000e+00,4.184000e-01,6.212000e-01,1.278376e+00,1.098958e+02,2.488189e+01,-1.437625e+01,1.135909e+02,3.001734e+00,2.125064e+02,1.311298e-01,1.350531e+03,9.741984e+02,1
313,-1.026500e+00,4.191000e-01,6.225500e-01,1.271580e+00,1.100991e+02,2.536087e+01,-1.523238e+01,1.140045e+02,3.011354e+00,2.285369e+02,1.408891e-01,1.368815e+03,9.524263e+02,1
314,-1.017000e+00,4.198000e-01,6.239000e-01,1.264821e+00,1.102586e+02,2.585854e+01,-1.612905e+01,1.143931e+02,3.020975e+00,2.441811e+02,1.506465e-01,1.385447e+03,9.321391e+02,1
315,-1.007500e+00,4.205000e-01,6.252500e-01,1.258099e+00,1.102639e+02,2.643678e+01,-1.705073e+01,1.146637e+02,3.030596e+00,2.578672e+02,1.600671e-01,1.396182e+03,9.160923e+02,1
316,-9.980000e-01,4.212000e-01,6.266000e-01,1.251416e+00,1.103998e+02,2.702350e+01,-1.823490e+01,1.151125e+02,3.040217e+00,2.764662e+02,1.721402e-01,1.412425e+03,8.972008e+02,1
317,-9.885000e-01,4.219000e-01,6.279500e-01,1.244770e+00,1.116393e+02,2.730270e+01,-1.978221e+01,1.166195e+02,3.049838e+00,3.152925e+02,1.922595e-01,1.468843e+03,8.469724e+02,1
318,-9.790000e-01,4.226000e-01,6.293000e-01,1.238164e+00,1.127425e+02,2.760125e+01,-2.135407e+01,1.180199e+02,3.059459e+00,3.547655e+02,2.126600e-01,1.526164e+03,7.959824e+02,1
319,-9.695000e-01,4.233000e-01,6.306500e-01,1.231598e+00,1.137130e+02,2.791863e+01,-2.295101e+01,1.193182e+02,3.069080e+00,3.948877e+02,2.333479e-01,1.584407e+03,7.442474e+02,1
320,-9.600000e-01,4.240000e-01,6.320000e-01,1.225071e+00,1.143946e+02,2.816735e+01,-2.265345e+01,1.199696e+02,3.078701e+00,4.150545e+02,2.421974e-01,1.617093e+03,7.031068e+02,1
321,-9.505000e-01,4.247000e-01,6.333500e-01,1.218586e+00,1.149600e+02,2.840258e+01,-2.218687e+01,1.204773e+02,3.088322e+00,4.336414e+02,2.499284e-01,1.647542e+03,6.588326e+02,1
322,-9.410000e-01,4.254000e-01,6.347000e-01,1.212143e+00,1.154360e+02,2.863182e+01,-2.177268e+01,1.209103e+02,3.097943e+00,4.529972e+02,2.579342e-01,1.678759e+03,6.100911e+02,1
323,-9.315000e-01,4.261000e-01,6.360500e-01,1.205742e+00,1.161993e+02,2.877462e+01,-2.123494e+01,1.215779e+02,3.107564e+00,4.746467e+02,2.650593e-01,1.719317e+03,5.620984e+02,1
324,-9.220000e-01,4.268000e-01,6.374000e-01,1.199384e+00,1.171256e+02,2.884393e+01,-2.066138e+01,1.223816e+02,3.117185e+00,4.984852e+02,2.717552e-01,1.767189e+03,5.134999e+02,1
325,-9.125000e-01,4.275000e-01,6.387500e-01,1.193069e+00,1.179652e+02,2.888848e+01,-2.017422e+01,1.231151e+02,3.126806e+00,5.236072e+02,2.787847e-01,1.816963e+03,4.610779e+02,1
326,-9.030000e-01,4.282000e-01,6.401000e-01,1.186799e+00,1.188931e+02,2.895627e+01,-1.922720e+01,1.238697e+02,3.136427e+00,5.431688e+02,2.831970e-01,1.859943e+03,4.137577e+02,1
327,-8.935000e-01,4.289000e-01,6.414500e-01,1.180574e+00,1.202254e+02,2.910618e+01,-1.706536e+01,1.248701e+02,3.146048e+00,5.470065e+02,2.810354e-01,1.882689e+03,3.853340e+02,1
328,-8.840000e-01,4.296000e-01,6.428000e-01,1.174395e+00,1.215890e+02,2.922929e+01,-1.490309e+01,1.259378e+02,3.155668e+00,5.499534e+02,2.789035e-01,1.903724e+03,3.568593e+02,1
329,-8.745000e-01,4.303000e-01,6.441500e-01,1.168263e+00,1.229756e+02,2.932675e+01,-1.274675e+01,1.270651e+02,3.165289e+00,5.520859e+02,2.768746e-01,1.923041e+03,3.283125e+02,1
330,-8.650000e-01,4.310000e-01,6.455000e-01,1.162177e+00,1.254429e+02,2.929318e+01,-1.003322e+01,1.292079e+02,3.174910e+00,5.664929e+02,2.834165e-01,1.957780e+03,3.276648e+02,1
331,-8.555000e-01,4.317000e-01,6.468500e-01,1.156140e+00,1.281203e+02,2.917154e+01,-5.502289e+00,1.315146e+02,3.184531e+00,5.677327e+02,2.675800e-01,2.010901e+03,3.342201e+02,1
332,-8.460000e-01,4.324000e-01,6.482000e-01,1.150152e+00,1.307132e+02,2.905738e+01,-8.403049e-01,1.339066e+02,3.194152e+00,5.669081e+02,2.497246e-01,2.063108e+03,3.400976e+02,1
333,-8.365000e-01,4.331000e-01,6.495500e-01,1.144213e+00,1.320364e+02,2.933405e+01,4.041519e+00,1.353160e+02,3.203773e+00,5.463236e+02,2.253992e-01,2.064758e+03,3.569219e+02,1
